target	scope	loc	dim	value	status	latency_ms	evidence	suggestions
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F4_4	1.0	Pass	0	LOC-weighted over 1 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F4_5	1.0	NotApplicable	0	[scope-native @ file root] [N/A] F4.5: not a Cargo project — dependency-health scan does not apply (excluded from composite; npm/pip/go manifest backends are future work)	Edit tool --path crates/touring-capnp-server/examples/bench_d34.rs --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 5)
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F4_6	1.0	NotApplicable	0	[scope-native @ file root] [N/A] F4.6: no matching artifact in scope (conditional artifact — does not apply to this project type; excluded from composite)	Edit tool --path crates/touring-capnp-server/examples/bench_d34.rs --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 5)
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F4_7	0.5568	Warn	0	[scope-native @ file root] FF4_7: 35 CI/CD Pipeline smell(s) over 375 lines (rust) -- score=0.557          (touring-analysis analyze_cicd: see header for detector catalog); top: action pinned by mutable tag (use SHA for supply-chain safety -- e.g. `actions/checkout@<40-hex-sha>`) (34x)	Edit tool --path crates/touring-capnp-server/examples/bench_d34.rs --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7)
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F4_8	1.0	NotApplicable	0	[scope-native @ file root] [N/A] F4.8: no matching artifact in scope (conditional artifact — does not apply to this project type; excluded from composite)	Edit tool --path crates/touring-capnp-server/examples/bench_d34.rs --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7)
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F4_9	1.0	NotApplicable	0	[scope-native @ file root] [N/A] F4.9: no matching artifact in scope (conditional artifact — does not apply to this project type; excluded from composite)	Edit tool --path crates/touring-capnp-server/examples/bench_d34.rs --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7)
crates/touring-capnp-server/examples/bench_generator_health.rs	file	198	F1_1	0.84	Pass	0	LOC-weighted over 1 files: 0.840 (worst bench_generator_health.rs=0.840, p10=0.840)	
crates/touring-capnp-server/examples/bench_generator_health.rs	file	198	F1_10	1.0	Pass	0	LOC-weighted over 1 files: 1.000 (worst bench_generator_health.rs=1.000, p10=1.000)	
crates/touring-capnp-server/examples/bench_generator_health.rs	file	198	F1_11	0.969697	Pass	0	LOC-weighted over 1 files: 0.970 (worst bench_generator_health.rs=0.970, p10=0.970)	
crates/touring-capnp-server/examples/bench_generator_health.rs	file	198	F1_12	1.0	Pass	0	LOC-weighted over 1 files: 1.000 (worst bench_generator_health.rs=1.000, p10=1.000)	
crates/touring-capnp-server/examples/bench_generator_health.rs	file	198	F1_2	0.98161185	Pass	0	LOC-weighted over 1 files: 0.982 (worst bench_generator_health.rs=0.982, p10=0.982)	
crates/touring-capnp-server/examples/bench_generator_health.rs	file	198	F1_3	1.0	Pass	0	[scope-native @ file root] F1.3: duplication ratio=0.0% (0 dup / 123 meaningful lines, 0 clone block(s)) (rust) — score=1.000 (touring-analysis analyze_duplication, Type-1 block clones)	Edit tool --path crates/touring-capnp-server/examples/bench_generator_health.rs --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 2) [preventive — score is Pass; tighten pattern to harden against regression]
